Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2025,4,1,     0.4,     0.4,     0.4,     0.4,    28.3,    33.2,    24.8,     7.5,    27.8
Seletar,2025,4,2,    27.2,    22.2,    25.6,    25.6,    27.5,    33.0,    23.2,     8.1,    59.3
Seletar,2025,4,3,     0.2,     0.2,     0.2,     0.4,    28.0,    32.7,    24.5,    10.6,    44.4
Seletar,2025,4,4,     5.0,     1.2,     2.0,     3.2,    26.8,    30.7,    24.8,     6.5,    27.8
Seletar,2025,4,5,    21.8,    19.2,    20.6,    21.6,    27.6,    32.7,    25.0,     6.9,    31.5
Seletar,2025,4,6,     0.2,     0.2,     0.2,     0.2,    28.5,    33.2,    25.8,    11.0,    33.3
Seletar,2025,4,7,    25.6,    17.2,    20.4,    22.8,    26.4,    29.7,    24.3,     8.2,    25.9
Seletar,2025,4,8,     0.6,     0.4,     0.4,     0.6,    27.1,    29.4,    25.3,     7.3,    20.4
Seletar,2025,4,9,    13.0,     6.2,     8.6,     8.6,    27.3,    32.0,    25.0,     8.2,    35.2
Seletar,2025,4,10,     0.0,     0.0,     0.0,     0.0,    28.1,    33.5,    25.0,     6.2,    25.9
Seletar,2025,4,11,     3.4,     2.4,     2.4,     3.4,    27.8,    31.1,    25.7,     6.7,    37.0
Seletar,2025,4,12,     5.2,     5.2,     5.2,     5.2,    28.8,    34.5,    25.7,     6.6,    27.8
Seletar,2025,4,13,    84.2,    39.4,    62.0,    73.2,    26.3,    31.7,    23.2,     4.8,    50.0
Seletar,2025,4,14,     0.0,     0.0,     0.0,     0.0,    28.2,    33.3,    24.7,     8.8,    29.6
Seletar,2025,4,15,    67.2,    33.4,    48.4,    50.6,    27.5,    33.1,    24.1,     6.8,    51.9
Seletar,2025,4,16,     0.2,     0.2,     0.2,     0.2,    27.9,    34.3,    25.6,     6.7,    48.2
Seletar,2025,4,17,     4.4,     1.4,     2.0,     3.2,    27.6,    32.8,    23.7,     7.3,    33.3
Seletar,2025,4,18,     8.8,     7.4,     8.6,     8.8,    28.4,    33.9,    25.5,     6.2,    27.8
Seletar,2025,4,19,    23.4,    18.2,    18.2,    18.2,    27.8,    33.2,    24.3,     6.2,    50.0
Seletar,2025,4,20,    26.4,    23.6,    26.4,    26.4,    27.3,    33.9,    23.9,     4.9,    55.6
Seletar,2025,4,21,    63.6,    27.2,    48.2,    50.6,    26.7,    33.5,    23.2,     3.6,    44.4
Seletar,2025,4,22,     0.0,     0.0,     0.0,     0.0,    28.4,    33.6,    24.9,     6.3,    27.8
Seletar,2025,4,23,    26.4,    25.8,    25.8,    25.8,    27.5,    30.7,    24.3,     5.6,    35.2
Seletar,2025,4,24,     1.2,     1.2,     1.2,     1.2,    27.8,    31.5,    25.7,     4.2,    16.7
Seletar,2025,4,25,    33.2,    25.8,    31.4,    33.2,    27.9,    33.6,    24.5,     4.9,    38.9
Seletar,2025,4,26,     2.4,     1.4,     1.8,     1.8,    27.2,    32.6,    25.2,     6.9,    35.2
Seletar,2025,4,27,     0.0,     0.0,     0.0,     0.0,    28.4,    33.0,    24.3,     7.2,    25.9
Seletar,2025,4,28,     6.2,     5.8,     6.2,     6.2,    27.9,    33.5,    25.0,     4.3,    44.4
Seletar,2025,4,29,    23.8,    18.6,    20.2,    23.4,    27.2,    33.3,    23.4,     4.9,    44.4
Seletar,2025,4,30,    14.2,    14.0,    14.2,    14.2,    28.1,    33.8,    23.9,     6.9,    57.4
