Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2025,11,1,    10.0,     9.2,    10.0,    10.0,-,-,-,-,-
Punggol,2025,11,2,    39.6,    21.4,    32.2,    32.6,-,-,-,-,-
Punggol,2025,11,3,     2.2,     1.4,     2.0,     2.2,-,-,-,-,-
Punggol,2025,11,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,11,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,11,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,11,7,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,11,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,11,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,11,10,    19.0,     9.2,    16.8,    18.4,-,-,-,-,-
Punggol,2025,11,11,    14.4,    10.6,    12.2,    13.8,-,-,-,-,-
Punggol,2025,11,12,     1.8,     0.4,     0.8,     1.4,-,-,-,-,-
Punggol,2025,11,13,    11.6,     4.4,     5.2,     6.0,-,-,-,-,-
Punggol,2025,11,14,    15.0,    12.8,    14.4,    14.8,-,-,-,-,-
Punggol,2025,11,15,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Punggol,2025,11,16,    39.0,    27.0,    35.4,    35.8,-,-,-,-,-
Punggol,2025,11,17,     6.8,     4.4,     4.6,     5.2,-,-,-,-,-
Punggol,2025,11,18,     3.0,     2.4,     2.4,     2.6,-,-,-,-,-
Punggol,2025,11,19,     1.0,     0.8,     1.0,     1.0,-,-,-,-,-
Punggol,2025,11,20,    14.0,    12.6,    13.0,    13.6,-,-,-,-,-
Punggol,2025,11,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,11,22,    26.8,    14.0,    15.2,    15.2,-,-,-,-,-
Punggol,2025,11,23,     5.2,     4.8,     4.8,     4.8,-,-,-,-,-
Punggol,2025,11,24,     0.4,     2.8,     4.8,     4.8,-,-,-,-,-
Punggol,2025,11,25,     5.6,     1.0,     1.8,     2.8,-,-,-,-,-
Punggol,2025,11,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,11,27,     1.4,     1.2,     1.2,     1.2,-,-,-,-,-
Punggol,2025,11,28,     9.6,     3.2,     3.2,     3.4,-,-,-,-,-
Punggol,2025,11,29,     0.2,     0.2,     0.2,     1.4,-,-,-,-,-
Punggol,2025,11,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
