Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2025,11,1,     0.2,     0.2,     0.2,     0.2,    29.3,    33.6,    26.1,     7.1,    25.9
Seletar,2025,11,2,     7.0,     3.0,     4.0,     4.8,    27.8,    32.8,    24.9,     6.7,    46.3
Seletar,2025,11,3,     1.8,     1.8,     1.8,     1.8,    27.3,    30.5,    23.5,     4.1,    44.4
Seletar,2025,11,4,     0.0,     0.0,     0.0,     0.0,    28.5,    33.1,    25.7,     5.0,    31.5
Seletar,2025,11,5,     0.0,     0.0,     0.0,     0.0,    29.0,    32.6,    26.3,     5.7,    29.6
Seletar,2025,11,6,     0.0,     0.0,     0.0,     0.0,    29.4,    33.5,    26.0,     5.6,    35.2
Seletar,2025,11,7,     0.0,     0.0,     0.0,     0.0,    29.5,    33.6,    26.5,     6.8,    35.2
Seletar,2025,11,8,     0.0,     0.0,     0.0,     0.0,    29.8,    34.1,    25.9,     6.3,    33.3
Seletar,2025,11,9,     0.0,     0.0,     0.0,     0.0,    28.9,    32.8,    26.5,     6.3,    29.6
Seletar,2025,11,10,    17.6,    11.4,    14.2,    17.0,    28.1,    33.1,    23.7,     7.3,    46.3
Seletar,2025,11,11,     2.0,     1.4,     1.4,     1.4,    28.0,    33.2,    25.1,     6.1,    31.5
Seletar,2025,11,12,     1.8,     0.4,     0.8,     1.4,    26.8,    30.1,    25.0,     7.6,    37.0
Seletar,2025,11,13,    15.8,    11.6,    12.4,    14.0,    26.0,    30.4,    23.5,     4.1,    42.6
Seletar,2025,11,14,    12.0,     9.8,     9.8,     9.8,    26.8,    32.3,    24.4,     6.2,    38.9
Seletar,2025,11,15,     0.0,     0.0,     0.0,     0.0,    27.4,    30.8,    25.1,    10.5,    35.2
Seletar,2025,11,16,     8.4,     4.4,     4.4,     5.0,    26.2,    30.9,    24.2,     5.6,    27.8
Seletar,2025,11,17,    36.0,    25.2,    27.4,    35.4,    26.4,    32.2,    24.0,     4.0,    29.6
Seletar,2025,11,18,     1.4,     0.6,     0.8,     1.4,    27.3,    31.8,    24.3,     6.3,    25.9
Seletar,2025,11,19,     1.4,     1.2,     1.4,     1.4,    27.5,    31.7,    24.0,     6.2,    35.2
Seletar,2025,11,20,     1.6,     1.4,     1.4,     1.4,    27.4,    31.3,    24.7,     6.7,    27.8
Seletar,2025,11,21,     0.0,     0.0,     0.0,     0.0,    28.1,    31.3,    25.7,     4.7,    22.2
Seletar,2025,11,22,    24.6,     8.8,     9.2,     9.2,    27.1,    31.6,    23.3,     7.0,    64.8
Seletar,2025,11,23,     5.4,     5.2,     5.2,     5.6,    28.3,    32.9,    24.4,     6.2,    44.4
Seletar,2025,11,24,     0.4,     1.0,     5.4,     5.6,    28.1,    32.1,    25.2,     5.3,    25.9
Seletar,2025,11,25,     4.2,     0.6,     1.0,     2.0,    27.7,    31.3,    25.0,     4.5,    25.9
Seletar,2025,11,26,     0.0,     0.0,     0.0,     0.0,    28.7,    33.2,    25.9,     6.1,    29.6
Seletar,2025,11,27,     4.4,     2.4,     2.4,     2.4,    27.8,    32.0,    25.8,     6.9,    38.9
Seletar,2025,11,28,    13.4,     4.0,     4.4,     5.0,    26.1,    29.0,    24.2,     8.0,    42.6
Seletar,2025,11,29,     0.0,     0.0,     0.0,     0.8,    27.9,    32.8,    24.2,     6.6,    27.8
Seletar,2025,11,30,     0.0,     0.0,     0.0,     0.0,    28.2,    32.9,    24.7,     5.6,    25.9
