DAY_TYPE,TIME_PER_HOUR,FREQ,AVG_BUS_PER_HOUR
WEEKDAY,0.0,11.5,5.217
WEEKDAY,5.0,10.5,5.714
WEEKDAY,6.0,9.0,6.667
WEEKDAY,7.0,9.0,6.667
WEEKDAY,8.0,9.0,6.667
WEEKDAY,9.0,10.5,5.714
WEEKDAY,10.0,10.5,5.714
WEEKDAY,11.0,10.5,5.714
WEEKDAY,12.0,10.5,5.714
WEEKDAY,13.0,10.5,5.714
WEEKDAY,14.0,10.5,5.714
WEEKDAY,15.0,10.5,5.714
WEEKDAY,16.0,10.5,5.714
WEEKDAY,17.0,7.5,8.000
WEEKDAY,18.0,7.5,8.000
WEEKDAY,19.0,11.5,5.217
WEEKDAY,20.0,11.5,5.217
WEEKDAY,21.0,11.5,5.217
WEEKDAY,22.0,11.5,5.217
WEEKDAY,23.0,11.5,5.217
WEEKENDS/HOLIDAY,0.0,12.0,5.000
WEEKENDS/HOLIDAY,5.0,11.0,5.455
WEEKENDS/HOLIDAY,6.0,10.0,6.000
WEEKENDS/HOLIDAY,7.0,10.0,6.000
WEEKENDS/HOLIDAY,8.0,10.0,6.000
WEEKENDS/HOLIDAY,9.0,11.0,5.455
WEEKENDS/HOLIDAY,10.0,11.0,5.455
WEEKENDS/HOLIDAY,11.0,11.0,5.455
WEEKENDS/HOLIDAY,12.0,11.0,5.455
WEEKENDS/HOLIDAY,13.0,11.0,5.455
WEEKENDS/HOLIDAY,14.0,11.0,5.455
WEEKENDS/HOLIDAY,15.0,11.0,5.455
WEEKENDS/HOLIDAY,16.0,11.0,5.455
WEEKENDS/HOLIDAY,17.0,9.5,6.316
WEEKENDS/HOLIDAY,18.0,9.5,6.316
WEEKENDS/HOLIDAY,19.0,12.0,5.000
WEEKENDS/HOLIDAY,20.0,12.0,5.000
WEEKENDS/HOLIDAY,21.0,12.0,5.000
WEEKENDS/HOLIDAY,22.0,12.0,5.000
WEEKENDS/HOLIDAY,23.0,12.0,5.000
