Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2025,10,1,    19.0,    15.0,    16.4,    18.8,-,-,-,-,-
Punggol,2025,10,2,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,10,3,    28.8,    24.8,    26.6,    26.6,-,-,-,-,-
Punggol,2025,10,4,     4.4,     4.0,     4.4,     4.4,-,-,-,-,-
Punggol,2025,10,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,7,     3.4,     2.8,     2.8,     2.8,-,-,-,-,-
Punggol,2025,10,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,9,     3.0,     2.4,     2.8,     2.8,-,-,-,-,-
Punggol,2025,10,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,13,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,10,14,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Punggol,2025,10,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,16,     1.0,     0.6,     0.6,     0.8,-,-,-,-,-
Punggol,2025,10,17,     6.0,     4.8,     5.6,     6.0,-,-,-,-,-
Punggol,2025,10,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,19,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2025,10,20,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2025,10,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,22,     6.8,     3.8,     6.0,     6.2,-,-,-,-,-
Punggol,2025,10,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,24,    23.6,    21.0,    22.6,    23.6,-,-,-,-,-
Punggol,2025,10,25,     0.8,     1.4,     1.8,    24.2,-,-,-,-,-
Punggol,2025,10,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,27,    16.6,    10.0,    14.2,    15.8,-,-,-,-,-
Punggol,2025,10,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,10,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
