Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2025,10,1,    22.8,    21.0,    22.4,    22.8,    27.7,    32.2,    23.7,     7.6,    38.9
Seletar,2025,10,2,     0.0,     0.0,     0.0,     0.0,    27.6,    33.9,    23.8,     5.2,    44.4
Seletar,2025,10,3,    15.2,     8.4,    13.6,    13.8,    27.2,    30.9,    23.6,     5.0,    38.9
Seletar,2025,10,4,     6.8,     6.4,     6.8,     6.8,    28.3,    32.7,    24.3,     6.6,    42.6
Seletar,2025,10,5,     0.0,     0.0,     0.0,     0.0,    29.0,    33.3,    25.4,     7.2,    25.9
Seletar,2025,10,6,    20.8,    11.8,    15.4,    20.8,    27.3,    29.8,    24.9,     5.1,    51.9
Seletar,2025,10,7,    11.2,     7.6,    10.8,    11.2,    27.0,    30.7,    24.4,     6.5,    37.0
Seletar,2025,10,8,     3.2,     3.0,     3.2,     3.2,    28.3,    32.4,    24.6,     7.0,    29.6
Seletar,2025,10,9,     1.2,     0.8,     1.2,     1.2,    26.6,    30.2,    22.7,     5.9,    68.5
Seletar,2025,10,10,     0.0,     0.0,     0.0,     0.0,    28.1,    32.2,    24.8,     5.3,    25.9
Seletar,2025,10,11,     0.0,     0.0,     0.0,     0.0,    28.9,    33.4,    25.3,     6.9,    33.3
Seletar,2025,10,12,     4.8,     4.8,     4.8,     4.8,    27.7,    30.5,    24.5,     6.7,    42.6
Seletar,2025,10,13,     0.0,     0.0,     0.0,     0.0,    28.1,    32.8,    25.4,     5.2,    22.2
Seletar,2025,10,14,     0.2,     0.2,     0.2,     0.2,    28.6,    32.7,    26.2,     6.4,    37.0
Seletar,2025,10,15,     0.0,     0.0,     0.0,     0.0,    28.5,    32.8,    26.0,    10.7,    46.3
Seletar,2025,10,16,     3.2,     2.8,     3.0,     3.0,    27.7,    33.4,    24.9,     3.7,    38.9
Seletar,2025,10,17,     0.4,     0.2,     0.4,     0.4,    27.7,    31.2,    25.7,     5.6,    38.9
Seletar,2025,10,18,     1.6,     1.4,     1.6,     1.6,    28.6,    33.2,    24.7,     6.6,    25.9
Seletar,2025,10,19,    12.6,    12.0,    12.4,    12.4,    28.4,    32.6,    23.6,     6.2,    40.7
Seletar,2025,10,20,     0.0,     0.0,     0.0,     0.0,    28.6,    32.0,    25.2,     7.9,    35.2
Seletar,2025,10,21,     0.0,     0.0,     0.0,     0.0,    28.3,    31.6,    26.0,     4.9,    16.7
Seletar,2025,10,22,     8.0,     3.6,     5.6,     7.6,    26.9,    30.1,    23.1,     6.5,    50.0
Seletar,2025,10,23,     0.0,     0.0,     0.0,     0.0,    28.6,    32.8,    25.9,     7.6,    33.3
Seletar,2025,10,24,    28.2,    22.2,    27.2,    28.2,    28.8,    32.9,    23.1,     9.1,    77.8
Seletar,2025,10,25,     1.0,     1.0,     2.0,    29.0,    28.0,    32.4,    24.4,     6.6,    33.3
Seletar,2025,10,26,     0.0,     0.0,     0.0,     0.0,    29.8,    33.9,    26.5,     4.9,    29.6
Seletar,2025,10,27,    18.6,    14.6,    17.4,    17.8,    27.6,    30.6,    23.0,     5.2,    57.4
Seletar,2025,10,28,     0.0,     0.0,     0.0,     0.0,    29.6,    33.8,    25.7,     5.6,    31.5
Seletar,2025,10,29,     0.0,     0.0,     0.0,     0.0,    29.3,    32.9,    26.8,     6.1,    33.3
Seletar,2025,10,30,     0.0,     0.0,     0.0,     0.0,    30.0,    34.2,    26.1,     5.9,    27.8
Seletar,2025,10,31,     0.0,     0.0,     0.0,     0.0,    30.1,    34.8,    27.4,     6.5,    33.3
