Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2025,12,1,     6.0,     6.0,     6.0,     6.0,    27.5,    32.7,    24.6,     5.4,    40.7
Seletar,2025,12,2,    13.0,     4.0,     5.6,     9.2,    25.4,    26.7,    23.1,     4.9,    50.0
Seletar,2025,12,3,     1.0,     0.6,     1.0,     1.0,    27.7,    33.7,    23.6,     5.9,    22.2
Seletar,2025,12,4,    36.4,    19.8,    24.8,    32.8,    26.4,    32.4,    24.3,     7.2,    35.2
Seletar,2025,12,5,     0.0,     0.0,     0.0,     0.0,    27.5,    32.7,    23.7,     7.9,    29.6
Seletar,2025,12,6,     0.0,     0.0,     0.0,     0.0,    27.4,    30.7,    25.7,    12.2,    46.3
Seletar,2025,12,7,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.3,    10.5,    38.9
Seletar,2025,12,8,     0.0,     0.0,     0.0,     0.0,    27.5,    30.2,    25.5,    14.6,    40.7
Seletar,2025,12,9,     0.0,     0.0,     0.0,     0.0,    27.4,    30.9,    24.7,    13.6,    38.9
Seletar,2025,12,10,    11.8,     8.6,    10.2,    11.6,    26.8,    31.6,    23.6,     6.9,    46.3
Seletar,2025,12,11,     0.0,     0.0,     0.0,     0.0,    27.6,    30.4,    25.5,     4.8,    14.8
Seletar,2025,12,12,    83.2,    36.0,    48.6,    63.6,    26.8,    33.4,    22.6,     6.1,    40.7
Seletar,2025,12,13,     7.4,     2.2,     2.4,     4.2,    25.9,    31.0,    23.0,     6.6,    37.0
Seletar,2025,12,14,    69.4,    22.2,    37.0,    56.8,    25.9,    31.4,    24.1,     8.3,    37.0
Seletar,2025,12,15,    11.2,     1.2,     2.2,     3.8,    24.9,    26.0,    23.6,     7.3,    25.9
Seletar,2025,12,16,    10.4,     2.2,     3.6,     6.4,    25.2,    29.0,    23.7,     7.1,    27.8
Seletar,2025,12,17,    24.4,    11.4,    16.6,    22.8,    25.4,    27.8,    23.9,     6.7,    25.9
Seletar,2025,12,18,     0.0,     0.0,     0.0,     0.0,    26.9,    30.2,    24.9,    12.7,    40.7
Seletar,2025,12,19,     1.6,     1.6,     1.6,     1.6,    26.5,    29.0,    25.3,     7.6,    31.5
Seletar,2025,12,20,     0.2,     0.2,     0.2,     0.2,    27.8,    32.0,    24.4,     9.6,    31.5
Seletar,2025,12,21,     0.0,     0.0,     0.0,     0.0,    28.3,    33.0,    24.9,    12.3,    37.0
Seletar,2025,12,22,     0.0,     0.0,     0.0,     0.0,    28.1,    32.7,    25.5,    15.3,    40.7
Seletar,2025,12,23,     0.0,     0.0,     0.0,     0.0,    28.5,    33.3,    25.5,    12.2,    42.6
Seletar,2025,12,24,     0.0,     0.0,     0.0,     0.0,    28.5,    33.6,    25.7,    12.1,    37.0
Seletar,2025,12,25,     0.0,     0.0,     0.0,     0.0,    28.4,    33.3,    25.7,    10.1,    27.8
Seletar,2025,12,26,     2.0,     1.6,     1.6,     1.6,    27.9,    32.2,    25.7,     8.6,    29.6
Seletar,2025,12,27,     0.0,     0.0,     0.0,     0.0,    27.4,    30.4,    25.6,    11.0,    29.6
Seletar,2025,12,28,     2.8,     2.4,     2.4,     2.4,    26.3,    30.8,    25.0,     7.0,    42.6
Seletar,2025,12,29,     0.6,     0.2,     0.4,     0.4,    26.8,    33.9,    24.7,    13.7,    33.3
Seletar,2025,12,30,     0.0,     0.0,     0.0,     0.0,    27.7,    31.8,    25.3,    15.6,    38.9
Seletar,2025,12,31,     0.0,     0.0,     0.0,     0.0,    27.3,    31.2,    25.2,    13.7,    33.3
