Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2025,4,1,     3.2,     3.0,     3.0,     3.0,-,-,-,-,-
Punggol,2025,4,2,    39.8,    23.2,    29.6,    30.8,-,-,-,-,-
Punggol,2025,4,3,     0.0,     0.0,     0.2,     4.2,-,-,-,-,-
Punggol,2025,4,4,    13.8,     7.6,    10.4,    11.8,-,-,-,-,-
Punggol,2025,4,5,    23.2,    15.2,    20.6,    22.8,-,-,-,-,-
Punggol,2025,4,6,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Punggol,2025,4,7,    33.6,    25.8,    30.2,    33.4,-,-,-,-,-
Punggol,2025,4,8,     0.8,     0.4,     0.6,     0.6,-,-,-,-,-
Punggol,2025,4,9,     5.0,     2.2,     3.4,     5.0,-,-,-,-,-
Punggol,2025,4,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,4,11,     1.6,     1.0,     1.2,     1.6,-,-,-,-,-
Punggol,2025,4,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,4,13,   110.6,    61.0,    88.0,   106.6,-,-,-,-,-
Punggol,2025,4,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,4,15,    66.2,    25.6,    41.2,    43.6,-,-,-,-,-
Punggol,2025,4,16,     0.8,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2025,4,17,     6.4,     2.2,     3.0,     4.4,-,-,-,-,-
Punggol,2025,4,18,     7.4,     6.2,     7.4,     7.4,-,-,-,-,-
Punggol,2025,4,19,     2.6,     2.6,     2.6,     2.6,-,-,-,-,-
Punggol,2025,4,20,     1.2,     1.0,     1.0,     1.2,-,-,-,-,-
Punggol,2025,4,21,     8.8,     6.2,     7.0,     8.8,-,-,-,-,-
Punggol,2025,4,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,4,23,     8.0,     8.0,     8.0,     8.0,-,-,-,-,-
Punggol,2025,4,24,     6.0,     5.2,     5.2,     5.2,-,-,-,-,-
Punggol,2025,4,25,    33.6,    30.0,    32.2,    33.6,-,-,-,-,-
Punggol,2025,4,26,     1.4,     1.2,     1.2,     1.4,-,-,-,-,-
Punggol,2025,4,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,4,28,     4.6,     4.6,     4.6,     4.6,-,-,-,-,-
Punggol,2025,4,29,    11.6,     5.2,     8.2,    10.8,-,-,-,-,-
Punggol,2025,4,30,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
