Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2025,6,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,3,     2.4,     2.2,     2.2,     2.4,-,-,-,-,-
Punggol,2025,6,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,5,     8.2,     8.2,     8.2,     8.2,-,-,-,-,-
Punggol,2025,6,6,     4.0,     3.4,     3.6,     3.6,-,-,-,-,-
Punggol,2025,6,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,8,    24.6,    19.4,    21.6,    23.8,-,-,-,-,-
Punggol,2025,6,9,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,6,10,     7.8,     4.4,     5.0,     6.8,-,-,-,-,-
Punggol,2025,6,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,16,     5.8,     5.8,     5.8,     5.8,-,-,-,-,-
Punggol,2025,6,17,    22.8,    17.8,    21.8,    22.4,-,-,-,-,-
Punggol,2025,6,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,20,    34.2,    28.4,    32.6,    33.2,-,-,-,-,-
Punggol,2025,6,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,23,    19.4,    17.0,    19.4,    19.4,-,-,-,-,-
Punggol,2025,6,24,     7.8,     7.6,     7.6,     7.8,-,-,-,-,-
Punggol,2025,6,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,6,28,    34.0,    25.8,    28.2,    33.2,-,-,-,-,-
Punggol,2025,6,29,     1.6,     0.6,     0.8,     1.2,-,-,-,-,-
Punggol,2025,6,30,     3.4,     3.4,     3.4,     3.4,-,-,-,-,-
