Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2025,12,1,    38.0,    22.0,    31.4,    38.0,-,-,-,-,-
Punggol,2025,12,2,    33.0,    13.6,    23.2,    26.4,-,-,-,-,-
Punggol,2025,12,3,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,12,4,     4.0,     2.0,     2.8,     4.0,-,-,-,-,-
Punggol,2025,12,5,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,12,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,10,    17.2,    12.2,    14.2,    16.4,-,-,-,-,-
Punggol,2025,12,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,12,    31.4,    12.0,    22.0,    26.0,-,-,-,-,-
Punggol,2025,12,13,    16.0,     7.8,    10.0,    11.6,-,-,-,-,-
Punggol,2025,12,14,    33.0,    17.6,    21.0,    29.2,-,-,-,-,-
Punggol,2025,12,15,    13.2,     1.4,     2.4,     4.6,-,-,-,-,-
Punggol,2025,12,16,    25.2,     9.8,    12.4,    12.6,-,-,-,-,-
Punggol,2025,12,17,    12.8,     7.2,     7.2,     7.8,-,-,-,-,-
Punggol,2025,12,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,20,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,12,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,26,     0.8,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2025,12,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,28,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,12,29,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Punggol,2025,12,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,12,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
