MONTH,TIME_PER_HOUR,STATION_ID,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,IN_FLOW_NORM,OUT_FLOW_NORM,IS_WEEKEND
9,0,0,428,147,6.061456918928017,4.997212273764115,0
9,0,1,244,362,5.501258210544727,5.8944028342648505,0
9,0,2,1056,3879,6.963189985870238,8.263590432617319,0
9,0,3,85,547,4.454347296253507,6.306275286948016,0
9,0,4,4,328,1.6094379124341003,5.796057750765372,0
9,0,5,208,584,5.342334251964811,6.371611847231857,0
9,0,6,507,105,6.230481447578482,4.663439094112067,0
9,0,7,55,775,4.02535169073515,6.654152520183219,0
9,0,8,364,882,5.8998973535824915,6.78332520060396,0
9,0,9,459,3084,6.131226489483141,8.034306936339489,0
9,0,10,502,4965,6.220590170099739,8.510369966068112,0
9,0,11,12,169,2.5649493574615367,5.135798437050262,0
9,0,12,46,148,3.8501476017100584,5.003946305945459,0
9,0,13,43,537,3.784189633918261,6.2878585601617845,0
9,0,14,342,157,5.8377304471659395,5.062595033026967,0
9,0,15,22,355,3.1354942159291497,5.87493073085203,0
9,0,16,198,5050,5.293304824724492,8.527341522468053,0
9,0,17,0,5182,0.0,8.553139318189707,0
9,0,18,41,738,3.7376696182833684,6.6052979209482015,0
9,0,19,8,826,2.1972245773362196,6.717804695023691,0
9,0,20,170,314,5.14166355650266,5.752572638825633,0
9,0,21,116,365,4.762173934797756,5.902633333401366,0
9,0,22,45,301,3.828641396489095,5.71042701737487,0
9,0,23,242,556,5.493061443340548,6.322565239927284,0
9,0,24,10,622,2.3978952727983707,6.434546518787453,0
9,0,25,48,762,3.8918202981106265,6.637258031284457,0
9,0,26,50,615,3.9318256327243257,6.423246963533519,0
9,0,27,66,275,4.204692619390966,5.62040086571715,0
9,0,28,0,3,0.0,1.3862943611198906,0
9,0,29,702,2234,6.555356891810665,7.711996507047669,0
9,0,30,66,910,4.204692619390966,6.814542897259958,0
9,0,31,261,2356,5.568344503761097,7.7651449029361315,0
9,0,32,5,330,1.791759469228055,5.802118375377063,0
9,0,33,1354,1580,7.2115567333138015,7.365812837209472,0
9,0,34,1072,4888,6.9782137426306985,8.494743062578646,0
9,0,35,1857,8370,7.527255919373784,9.032528630660057,0
9,0,36,180,754,5.198497031265826,6.626717749249025,0
9,0,37,26,172,3.295836866004329,5.153291594497779,0
9,0,38,26,203,3.295836866004329,5.318119993844216,0
9,0,39,48,779,3.8918202981106265,6.659293919683638,0
9,0,40,27,824,3.332204510175204,6.715383386334681,0
9,0,41,3,4257,1.3862943611198906,8.356554845453426,0
9,0,42,16,504,2.833213344056216,6.22455842927536,0
9,0,43,60,3800,4.110873864173311,8.24301946898925,0
9,0,44,505,3975,6.226536669287466,8.288031567776464,0
9,0,45,29,295,3.4011973816621555,5.69035945432406,0
9,0,46,45,508,3.828641396489095,6.2324480165505225,0
9,0,47,17,38,2.8903717578961645,3.6635616461296463,0
9,0,48,59,798,4.0943445622221,6.683360945766275,0
9,0,49,26,806,3.295836866004329,6.693323668269949,0
9,0,50,60,275,4.110873864173311,5.62040086571715,0
9,0,51,111,62,4.718498871295094,4.143134726391533,0
9,0,52,246,671,5.5093883366279774,6.51025834052315,0
9,0,53,1527,7877,7.331714969726466,8.971829343530851,0
9,0,55,38,82,3.6635616461296463,4.418840607796598,0
9,0,56,225,166,5.420534999272286,5.117993812416755,0
9,0,57,61,465,4.127134385045092,6.144185634125646,0
9,0,58,797,1097,6.682108597449809,7.001245622069476,0
9,0,59,37,275,3.6375861597263857,5.62040086571715,0
