YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-10,WEEKDAY,9,TRAIN,NS2,38142,22344
2025-10,WEEKDAY,23,TRAIN,NS23,18316,4740
2025-10,WEEKDAY,0,TRAIN,EW1,0,5048
2025-10,WEEKENDS/HOLIDAY,17,TRAIN,CC19/DT9,5418,4846
2025-10,WEEKDAY,11,TRAIN,NS13,44416,34719
2025-10,WEEKDAY,6,TRAIN,PE5,12893,1637
2025-10,WEEKDAY,14,TRAIN,CC8,7873,7747
2025-10,WEEKDAY,14,TRAIN,SE4,3257,4039
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,NS11,17323,16963
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,TE27,16,513
2025-10,WEEKDAY,18,TRAIN,BP9,2706,5680
2025-10,WEEKDAY,21,TRAIN,EW11,15895,20326
2025-10,WEEKENDS/HOLIDAY,23,TRAIN,NS20,1291,2362
2025-10,WEEKDAY,13,TRAIN,NS14,29367,23760
2025-10,WEEKDAY,10,TRAIN,NS15,16469,15728
2025-10,WEEKDAY,0,TRAIN,NS25/EW13,10852,312
2025-10,WEEKENDS/HOLIDAY,11,TRAIN,EW15,7006,12574
2025-10,WEEKDAY,10,TRAIN,CC11,6392,22171
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,PE1,1696,1659
2025-10,WEEKDAY,19,TRAIN,NS2,32070,71343
2025-10,WEEKDAY,17,TRAIN,NE8,46153,53107
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,CC28,2218,990
2025-10,WEEKENDS/HOLIDAY,18,TRAIN,NS10,16437,19840
2025-10,WEEKDAY,22,TRAIN,DT13,9404,8211
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,NS10,21667,9340
2025-10,WEEKDAY,20,TRAIN,EW19,9841,25154
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,SW7,252,1168
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,EW14/NS26,12590,13095
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,SE1,32,342
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,BP3,2445,852
2025-10,WEEKENDS/HOLIDAY,18,TRAIN,CC20,2626,2722
2025-10,WEEKENDS/HOLIDAY,23,TRAIN,EW19,779,3651
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,TE3,5082,3913
2025-10,WEEKDAY,23,TRAIN,PE5,231,3567
2025-10,WEEKDAY,5,TRAIN,PE4,720,148
2025-10,WEEKDAY,14,TRAIN,TE5,3028,4945
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,DT23,970,1745
2025-10,WEEKENDS/HOLIDAY,5,TRAIN,PW7,181,91
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,CC16,1409,1178
2025-10,WEEKDAY,15,TRAIN,PW2,187,193
2025-10,WEEKENDS/HOLIDAY,18,TRAIN,NE17/PTC,25341,28747
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,CC4/DT15,16321,12207
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,CG2,61,176
2025-10,WEEKDAY,19,TRAIN,BP6/DT1,51290,110842
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,CC21,34,233
2025-10,WEEKDAY,17,TRAIN,EW17,42978,51952
